
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
00-1098                          R1                                 3   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-1098                          R1                                 3   1      2   1   1 2           2 0 IO0                 (4074-1-13)
00-1098                          R2                                 4   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-1098                          R2                                 4   1      2   1   1 2           2 0 XSIG011125          (4074-7-13)
10-0120                          C1                                 1   1      1   1   1 1           1 0 VCC5                (4074-2-13)
10-0120                          C1                                 1   1      2   1   1 2           2 0 GND                 (43-1-13)
40-0042                          U2                                 5   1      1   1   1 20         20 0 VCC5                (4074-2-13)
40-0042                          U2                                 5   2      1   1   2 10         10 0 GND                 (43-1-13)
40-0042                          U2                                 5   3      1   1   3 2           2 0 HSPI_CLK            (4074-5-13)
40-0042                          U2                                 5   3      2   2   3 18         18 0 STRIP0_CLK          (4074-9-13)
40-0042                          U2                                 5   3      3   3   3 1           1 0 GND                 (43-1-13)
40-0042                          U2                                 5   3      1   1   4 4           4 0 HSPI_D              (4074-6-13)
40-0042                          U2                                 5   3      2   2   4 16         16 0 STRIP0_D            (4074-10-13)
40-0042                          U2                                 5   3      3   3   4 1           1 0 GND                 (43-1-13)
40-0042                          U2                                 5   3      1   1   5 6           6 0 VSPI_CLK            (4074-3-13)
40-0042                          U2                                 5   3      2   2   5 14         14 0 STRIP1_CLK          (4074-11-13)
40-0042                          U2                                 5   3      3   3   5 1           1 0 GND                 (43-1-13)
40-0042                          U2                                 5   3      1   1   6 8           8 0 VSPI_D              (4074-4-13)
40-0042                          U2                                 5   3      2   2   6 12         12 0 STRIP1_D            (4074-12-13)
40-0042                          U2                                 5   3      3   3   6 1           1 0 GND                 (43-1-13)
40-0042                          U2                                 5   4      1   1   7 17         17 0 GND                 (43-1-13)
40-0042                          U2                                 5   4      2   2   7 3           3 0                     (0-0-0)
40-0042                          U2                                 5   4      3   3   7 19         19 0 GND                 (43-1-13)
40-0042                          U2                                 5   4      1   1   8 15         15 0 GND                 (43-1-13)
40-0042                          U2                                 5   4      2   2   8 5           5 0                     (0-0-0)
40-0042                          U2                                 5   4      3   3   8 19         19 0 GND                 (43-1-13)
40-0042                          U2                                 5   4      1   1   9 13         13 0 GND                 (43-1-13)
40-0042                          U2                                 5   4      2   2   9 7           7 0                     (0-0-0)
